SEASON 1,Followers,SEASON 2,Followers,SEASON 3,Followers,SEASON 4,Followers,SEASON 5,Followers,SEASON 6,Followers,SEASON 7,Followers,SEASON 8,Followers,SEASON 9,Followers
BeBe Zahara Benet,52k,Tyra Sanchez,128.3k,Raja,485.1k,Sharon Needles,668k,Jinkx Monsoon,532.6k,Bianca Del Rio,992.1k,Violet Chachki,794.4k,BobTDQ,531.6k,Sasha Velour,292.1k
Nina Flowers,79.8k,Raven,104k,Manila Luzon,387.1k,Chad Michaels,199k,ALASKA,956.4k,ADORE DELANO,1.1m,GINGER MINJ,233k,Kim Chi,798.5k,Shea Coulee,248.8k
Rebecca Glasscock,"3,265",Jujubee,321.8k,Alexis Mateo,59.4k,PHI PHI O'HARA,373k,ROXXXY ANDREWS,302k,Courtney Act,598.2k,Pearl,693.7k,Naomi Smalls,457.5k,Trinity Taylor,150.7k
Shannel,17.5k,TATIANNA,352k,Yara Sofia,154.6k,Latrice Royale,431k,DETOX,543.2k,Darienne Lake,91k,Kennedy Davenport,84.2k,Chi Chi DeVayne,187.9k,Peppermint,135.9k
Ongina,92.3k,Pandora Boxx,201.9k,Carmen Carrera,345.5k,Kenya Michaels,38.4k,COCO MONTRESE,96.6k,BenDeLaCreme,298.6k,KATYA,808.7k,Derrick Barry,175.3k,Alexis Michelle,101k
Jade,22.3k,Jessica Wild,65.9k,Shangela,261.7k,DiDa Ritz,34.9k,ALYSSA EDWARDS,717.2k,Joslyn Fox,165.7k,Trixie Mattel,577.8k,Thorgy Thor,282.1k,Nina Bo'nina Brown,191.7k
Akashia,"1,189",Sahara Davenport,1476,Delta Work,96.4k,Willam,638k,Ivy Winters,241.8k,Trinity K. Bonet,157.7k,Miss Fame,763.7k,Robbie Turner,83.1k,Valentina,439.2k
Tammie Brown,84k,Morgan McMichaels,117.3k,Stacy Layne Matthews,34.4k,Jiggly Caliente,99.6k,Jade Jolie,95.5k,Laganja Estranja,356.1k,Jaidynn Diore Fierce,93k,Acid Betty,185.8k,Farrah Moan,344.8k
Victoria Parker,"9,247",Sonique,55.5k,Mariah,37.9k,Milan,"5,271",Lineysha Sparx,30.5k,Milk,525k,Max,214.8k,Naysha Lopez,69k,Aja,288.4k
Top 3/season in order,,Mystique Summers Madison,16.5k,India Ferrah,43.3k,Madame LaQueer,"6,687",Honey Mahogany,27.4k,Gia Gunn,230.3k,Kandy Ho,67.3k,Cynthia Lee Fontaine,140.8k,CLF,same
1: Ongina,,Nicole Paige Brooks,13.7k,Mimi Imfurst,35.2k,The Princess,57.4k,Vivienne Pinay,28.6k,April Carrion,242.8k,Mrs. Kasha Davis,100k,Dax!,63.8k,Eureka,94.7k
2: Tammie Brown,,Shangela Laquifa Wadley,261.7k,Phoenix,10.8k,Lashauwn Beyond,27k,Monica Beverly Hillz,28.1k,Vivacious,52.5k,Jasmine Masters,89.3k,Laila McQueen,145.5k,Charlie Hides,108.4k
3: Nina Flowers,,Top 3/season in order,,Venus D-Lite,"7,460",Alisa Summers,None,Serena ChaCha,13.8k,Magnolia Crawford,17.1k,Sasha Belle,52.2k,Top 3/season in order,,Kimora Blac,175k
,KEY,1: Tatianna,,Top 3/season in order,,Top 3/season in order,,Penny Tration,7277,Kelly Mantle,39.6k,Tempest DuJour,96.6k,1: Kim Chi,,Jaymes Mansfield,71.9k
Bolded (lower case),All Stars Season 1,2: Jujubee,,1: Raja,,1: Sharon Needles,,Top 3/season in order,,Top 3/season in order,,Top 3/season in order,,2: BobTDQ,,Top 3/season in order,
BOLDED (UPPER CASE),All Stars Season 2,3: Pandora Boxx,,2: Manila Luzon,,2: Willam,,1: Alaska,,1: Adore Delano,,1: Katya,,3: Naomi Smalls,,1: Valentina,
,,,,3: Carmen Carrera,,3: Latrice Royale,,2: Alyssa Edwards,,2: Bianca Del Rio,,2: Violet Chachki,,,,2: Farrah Moan,
TOP 3/SEASON,KEY,TOP 5 OVERALL:,,,,,,3: Detox,,3: Courtney Act,,3: Miss Fame,,,,3: Sasha Velour,
BOTTOM 3/SEASON,KEY,1: Adore Delano,,,,,,,,,,,,,,,
,,2: Alaska ,,,,,"Fun fact: Alaska's makeover partner, Nebraska Thunderf***, is now a full fledged drag queen with 58.7k followers",,,,,,,,,Def thought Eureka would have more,
Yellow highlights are ,KEY,3: Bianca Del Rio,,,,,,,,,,,,,,,
numbers I was surprised,,4: Katya,,,,Surprised CM doesn't have more,,,,"I love Milk, so I'm happy for all his",,,,,,,
by or just want to call,,5: Kim Chi,,,,,,,,success currently!,,,Both S7 and S9 are very diversified in where the top follower counts (and lowest counts) lie,,,,
extra attention to,,,,,,,,,,Surprised Darienne Lake doesn't,,,within the sashay away rankings,,,,
,,Surprised Raven doesn't have more,,,,,,,,have more but then again she was,,,,,,,
,,,,,,,,,,kinda mean...,,,,,,,